permission_name,manifest_path,manifest_type,permissionGroup,protectionLevel,permissionFlags
android.permission.ACCESS_DRM,packages/providers/DrmProvider/AndroidManifest.xml,package,,signature,
android.permission.INSTALL_DRM,packages/providers/DrmProvider/AndroidManifest.xml,package,,normal,
android.permission.ACCESS_DOWNLOAD_MANAGER,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signature,
android.permission.DOWNLOAD_CACHE_NON_PURGEABLE,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,packages/providers/DownloadProvider/AndroidManifest.xml,package,android.permission-group.NETWORK,normal,
android.permission.ACCESS_ALL_DOWNLOADS,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signature,
com.android.launcher.permission.INSTALL_SHORTCUT,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.UNINSTALL_SHORTCUT,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.READ_SETTINGS,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.WRITE_SETTINGS,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.email.permission.READ_ATTACHMENT,packages/apps/Email/AndroidManifest.xml,package,android.permission-group.MESSAGES,dangerous,
com.android.email.permission.ACCESS_PROVIDER,packages/apps/Email/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.ACCESS_BLUETOOTH_SHARE,packages/apps/Bluetooth/AndroidManifest.xml,package,,signature,
